training;age;emergency_breaking;braking_distance;power;miles;risk;group_name;group
0;21.942602807854623;1;44.91501907073815;174.20389870887544;52.965394237115206;3.8441413850534354;high;0
0;54.89826971310449;0;33.62617788576642;138.94984327367695;47.31108950095579;2.172252831052073;medium;1
0;46.03043654470875;0;40.400579297010694;109.00803731519636;10.423394878529614;1.5289498844524836;medium;1
1;45.81944219395946;1;34.457464600767366;153.40798338130645;3.116479574619923;-1.1554367247929473;low;2
0;69.09258409703762;0;41.24855781489926;92.80539264350321;49.344213822355364;4.233126139014763;high;0
0;31.282063408685246;1;40.22987444301877;164.4517797535384;22.159801223954616;0.752396310756667;low;2
0;46.010700641888036;1;35.74268122978607;144.05099674594513;13.25589442739506;0.4438434808029986;low;2
0;22.304871405665004;1;32.456506775927906;176.03230845125523;32.72780723418304;0.8322695098234861;low;2
0;31.1150232353016;0;43.75210562286508;158.89342480958402;12.197956869856537;2.8841685738020035;medium;1
1;30.46862356931915;0;36.6572094948956;85.80780788406496;18.3364718813123;-1.2343709353672836;low;2
0;29.872333475829436;1;32.986629599101484;144.78176270984477;16.494861164548745;-0.6661724654277754;low;2
0;43.37269496466754;1;38.561822638272105;151.6344697673233;28.031813167874574;0.6518825364669274;low;2
1;22.641845478756647;1;38.568380864517074;72.02562019465118;37.163842118854845;-1.0232886743614653;low;2
0;33.05345434434229;1;37.044363021111636;183.42308028849715;12.471738611002678;0.7559313827862294;low;2
0;59.51552608346452;1;47.227965902342454;156.89762888580336;8.09828819612401;3.9936205485160348;high;0
0;49.935827491730215;1;43.68631234100914;179.8937505283075;35.66200791950946;2.8350713039625246;medium;1
0;20.49850049070793;1;36.25947432775915;99.45904001520267;29.89714616245885;-0.20329616096117387;low;2
1;25.086416775172694;1;38.7486499251482;109.35767527114986;3.1525113749796247;-0.842611028344257;low;2
0;40.28085889056281;0;33.32508104360474;110.81364920725632;28.77494387445764;-0.7804692280630112;low;2
0;76.550259372457;1;37.68210525973783;109.53224428582215;-1.6538766056252072;3.193318974126305;high;0
0;56.656854307929606;1;33.68474517265774;85.70408285266964;18.382212526861597;0.13211947917930136;low;2
0;36.78893195460455;0;31.35781600749491;113.3922906968556;21.99971704366296;-1.4440843969327095;low;2
0;57.42857328302371;1;42.47224637359877;158.19080117051152;18.486032464814784;2.7414496203869088;medium;1
0;52.87478566827911;1;37.54618329475863;125.65976836553239;29.864778695264356;1.223174216957373;medium;1
0;55.184492073062685;1;44.5444363799932;186.50821459480554;19.0183000864536;3.9101132613151433;high;0
0;28.82052399385459;1;39.352848695899915;168.9247958524429;3.89868407895381;1.8267890262189188;medium;1
0;36.370319960218445;1;32.86219585129031;149.28386001071235;31.269721861243692;-0.9680212226359822;low;2
0;23.822689970808455;1;38.88261342758848;115.42324927952308;13.66055557929743;0.38115545851537147;low;2
1;25.188216400665855;1;43.28536234638531;176.93734432198278;58.744350320337965;1.5357024493482512;medium;1
1;27.582271656232333;1;51.11829836900839;146.2365433048173;55.46104623482143;2.1091471015776846;medium;1
0;29.13057206845936;0;44.77978667848137;108.56156023559691;21.319220037701772;1.6254566988171482;medium;1
0;28.71174754668921;1;41.67976493169499;153.37576080545284;6.53408539338934;1.4937164802706442;medium;1
0;31.446375306289106;1;37.90346955305917;152.32744425366252;32.90361446920556;0.5162476053054432;low;2
0;42.36595540778394;1;50.26900253316932;133.85592088674974;41.479039212797616;2.728235123328043;medium;1
1;22.115882717402883;1;39.59161503930464;143.23690320768952;15.8418989546905;-1.0236351974986175;low;2
0;27.188081872458948;1;39.0379138319314;136.95063313951167;15.57757856002124;1.1138112167873804;medium;1
0;27.05448225942596;0;39.412251944063286;172.4366483643712;26.59639956325037;2.0876552942289863;medium;1
0;38.83679390438015;1;42.242377566918;128.7752318688209;74.84414488188132;2.0661019286613986;medium;1
0;42.73755965268251;1;41.14189330979376;122.93230247748141;19.18482535650628;0.5627748793039238;low;2
0;49.236357137788175;1;44.348887294618486;104.8750419944638;1.3746919907658715;2.199628214730372;medium;1
0;49.02545892176771;0;31.989597066454643;123.27236289924434;54.231422292092375;0.9305448027762397;low;2
0;21.446234304011004;1;40.39061902253737;143.7576691681577;31.306959917163166;1.3457384699077313;medium;1
0;23.13611234036869;1;47.84926199053156;119.5019963843329;32.82926881221444;2.3515053068938907;medium;1
0;23.919911585466107;1;39.526309705631974;113.80552341124078;16.884878051855427;0.21779195921497607;low;2
0;27.529119910735727;1;44.06627449522466;110.9800341427784;20.302447185333396;0.8719134152007907;low;2
0;78.91409613774752;1;38.12428230997329;217.31552694398897;25.083783509421785;4.620918422444278;high;0
1;57.29113669816471;1;35.370796983354474;140.65060431537074;9.907983871053908;-0.7260867663841819;low;2
0;25.247423416562093;1;31.846603854154136;181.51789275098145;43.69785373676169;0.27851535993823023;low;2
0;57.79397462180884;1;42.04325752983731;129.28504819724418;18.14868564347549;1.7275753456456195;medium;1
0;24.02651413074124;1;45.60099443912241;178.14143689764683;13.200043181614973;2.878787739886055;medium;1
0;22.267542710277002;0;32.74669830182171;130.8408393029576;12.528921206076284;0.6583645192079969;low;2
0;39.44932927812754;0;48.32128286119044;98.46608059068426;72.78526790673874;3.937488904436905;high;0
0;36.01205588023183;1;43.04444550239464;90.64103115926247;27.550320731953125;-0.14106219308316958;low;2
0;27.036728210448832;1;45.87631156767916;116.86052599824508;24.027482056003;1.5305070848163025;medium;1
1;31.052989007435812;0;31.849867771656875;114.28630633653891;52.686322207935106;-1.7225869683772297;low;2
0;57.93149609693182;0;37.718951804303906;107.28713503624863;33.587951626534306;2.2462908932468135;medium;1
0;41.375734144744854;1;30.176097096885997;164.835252635515;12.7957763743776;-0.25912014293611274;low;2
0;28.461737856315576;0;38.141554718499386;146.6810938071859;28.100351975828328;1.355368828207843;medium;1
0;52.83790680587171;1;38.35561975916752;152.09319037462413;23.088030798490298;1.2345379472064595;medium;1
0;28.029082263829444;1;47.59501978954107;151.42082611216796;31.437084419076083;2.36816465811479;medium;1
1;30.238582916620587;0;38.90607975228404;128.59702019153377;14.27102720499579;-0.8921412318841087;low;2
